"","VALUE","COUNT","CLASSNAMES","acres","hectare","rel_percent","RED","GREEN","BLUE","R","G","B"
"73",143,695,"Tree Cover = 43%",154.564279466055,62.55,0.173475908065257,0.403922,0.701961,0.266667,"103","179","68"
"74",347,591,"Herb Cover = 47%",131.435236207825,53.19,0.147516923261247,1,0.596078,0.239216,"255","152","61"
"75",366,580,"Herb Cover = 66%",128.988895093974,52.2,0.144771261406977,1,0.466667,0.160784,"255","119","41"
"76",141,576,"Tree Cover = 41%",128.099316507119,51.84,0.143772838914515,0.431373,0.721569,0.286275,"110","184","73"
"77",367,546,"Herb Cover = 67%",121.427477105707,49.14,0.136284670221051,1,0.462745,0.14902,"255","118","38"
"78",140,525,"Tree Cover = 40%",116.757189524718,47.25,0.131042952135626,0.439216,0.729412,0.290196,"112","186","74"
"79",368,511,"Herb Cover = 68%",113.643664470725,45.99,0.127548473412009,1,0.447059,0.14902,"255","114","38"
"80",346,496,"Herb Cover = 46%",110.307744770019,44.64,0.123804389065277,1,0.6,0.25098,"255","153","64"
"81",369,482,"Herb Cover = 69%",107.194219716027,43.38,0.12030991034166,1,0.439216,0.141176,"255","112","36"
"82",139,465,"Tree Cover = 39%",103.413510721893,41.85,0.116066614748697,0.45098,0.729412,0.298039,"115","186","76"
"83",370,452,"Herb Cover = 70%",100.522380314614,40.68,0.112821741648196,1,0.439216,0.141176,"255","112","36"
"84",22,435,"Developed-Low Intensity",96.7416713204806,39.15,0.108578446055233,1,0.478431,0.560784,"255","122","143"
"85",345,420,"Herb Cover = 45%",93.4057516197743,37.8,0.104834361708501,1,0.611765,0.25098,"255","156","64"
"86",138,411,"Tree Cover = 38%",91.4041997993506,36.99,0.102587911100461,0.462745,0.741176,0.309804,"118","189","79"
"87",137,362,"Tree Cover = 37%",80.5068621103769,32.58,0.0903572355678029,0.466667,0.74902,0.313725,"119","191","80"
"88",135,350,"Tree Cover = 35%",77.8381263498119,31.5,0.0873619680904171,0.498039,0.768627,0.337255,"127","196","86"
"89",136,338,"Tree Cover = 36%",75.169390589247,30.42,0.0843667006130314,0.486275,0.760784,0.32549,"124","194","83"
"90",344,319,"Herb Cover = 44%",70.9438923016858,28.71,0.0796241937738373,1,0.619608,0.258824,"255","158","66"
"91",17,312,"Developed-Upland Shrubland",69.3871297746895,28.08,0.077876954412029,0.619608,0.666667,0.843137,"158","170","215"
"92",371,285,"Herb Cover = 71%",63.3824743134183,25.65,0.0711376025879111,1,0.419608,0.129412,"255","107","33"
"93",343,278,"Herb Cover = 43%",61.8257117864221,25.02,0.0693903632261028,1,0.619608,0.258824,"255","158","66"
"94",65,261,"NASS-Close Grown Crop",58.0450027922883,23.49,0.0651470676331396,1,0.929412,0.466667,"255","237","119"
"95",373,244,"Herb Cover = 73%",54.2642937981546,21.96,0.0609037720401765,1,0.411765,0.121569,"255","105","31"
"96",134,237,"Tree Cover = 34%",52.7075312711584,21.33,0.0591565326783682,0.501961,0.780392,0.345098,"128","199","88"
